order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,discount,total_amount,payment_method,store_location,order_status
O00069,2025-02-17,C0684,P206,HP Laptop,Electronic,-1,3366,10%,,Credit Card,Lucknow,Cancelled
O00070,21/03/2025,C0597,P203,Sony Headphones,Home and Living,-1,abc,ten,,, ,Returned
O00071,19-02-2025,C0092,P209,Office Chair,electronics,3,abc,10%,,Credit Card,Kolkata,Cancelled
O00072,24-01-2025,C0584,P210,Air Conditioner,Fashion,2,23953,0,,Cash, ,Completed
O00073,2025-02-20,C0418,P210,Air Conditioner,Electronics,1,abc,0.05,,Cash,Bangalore,completed
O00074,2025/03/27,C0317,P209,Office Chair,Fashon,2,69156,0.1,,Debit Card,Kolkata,Completed
O00075,16-01-2025,C0857,P205,Levi Jeans,Fashion,1,abc,,,UPI,Delhi,completed
O00076,2025/03/26,C0416,P210,Air Conditioner,Fashon,3,72368,5%,,Cash,Pune,Returned
O00077,2025-02-24,C0646,P202,Samsung TV,Electronic,2,abc,ten,,Debit Card,Kolkata,Cancelled
O00078,04/02/2025,C0586,P206,HP Laptop,Home and Living,1,34021,ten,,UPI,Kolkata,Cancelled
O00079,2025-01-29,,P201,iPhone 15,Fashion,1,abc,ten,,,Jaipur,Returned
O00080,11-01-2025,C0065,P201,iPhone 15,Home and Living,1,51749,0,,Credit Card,Delhi,Completed
O00081,2025-03-22,C0385,P209,Office Chair,Fashion,1,37601,0.1,,Cash,Bangalore,completed
O00082,17-02-2025,C0893,P210,Air Conditioner,Fashion,-1,54888,0,,Cash,Lucknow,Cancelled
O00083,21/02/2025,C0401,P203,Sony Headphones,electronics,1,59854,,,Credit Card,Kolkata,Completed
O00084,2025-03-14,C0764,P208,Refrigerator,Fashion,-1,51393,0.05,,,Kolkata,Cancelled
O00085,12-01-2025,C0069,P204,Nike Shoes,Home & Living,2,abc,0.05,,Debit Card,Chennai,Cancelled
O00086,02-01-2025,C0938,P207,Microwave Oven,Electronic,1,62235,5%,,Credit Card,Mumbai,completed
O00087,2025/03/07,C0001,P207,Microwave Oven,Fashon,1,abc,0.05,,UPI,Jaipur,Completed
O00088,2025-02-03,C0195,P204,Nike Shoes,Fashon,-1,abc,0.1,,UPI,Delhi,completed
O00089,13/01/2025,C0885,P207,Microwave Oven,Electronic,3,67881,ten,,Cash,Chennai,Cancelled
O00090,01/03/2025,C0852,P202,Samsung TV,Electronic,-1,62656,0.05,,Credit Card,Delhi,completed
O00091,22-03-2025,C0655,P202,Samsung TV,Fashion,-1,78200,0,,Debit Card, ,Cancelled
O00092,30-01-2025,C0753,P208,Refrigerator,Electronic,-1,abc,ten,,,Pune,Returned
O00093,03/01/2025,C0030,P206,HP Laptop,Home & Living,2,abc,,,Cash,Jaipur,Completed
O00094,21-02-2025,C0465,,Refrigerator,Home and Living,1,abc,0.05,,Credit Card,Jaipur,completed
O00095,28-03-2025,C0087,P203,Sony Headphones,Home and Living,2,abc,0.1,,UPI,Delhi,Cancelled
O00096,2025-01-20,C0553,P208,Refrigerator,Electronic,1,abc,10%,,Credit Card, ,completed
O00097,2025/03/17,C0336,P210,Air Conditioner,Fashon,-1,60863,10%,,UPI,Kolkata,Completed
O00098,05-01-2025,C0976,P203,Sony Headphones,Home & Living,2,abc,ten,,,Hyderabad,Cancelled
O00099,2025/01/11,C0664,P203,Sony Headphones,Fashon,3,45265,,,Cash,Delhi,Returned
O00100,19/02/2025,C0094,P206,HP Laptop,Home & Living,2,abc,5%,,Debit Card,Delhi,Returned
O00101,20/03/2025,C0282,P207,Microwave Oven,Fashon,1,abc,5%,,,Jaipur,Returned
O00102,2025/01/05,C0736,,Sony Headphones,Home & Living,2,42958,5%,,Debit Card,Chennai,Cancelled
O00103,2025/03/21,C0054,P205,Levi Jeans,Electronics,1,abc,5%,,Credit Card,Bangalore,Cancelled
O00104,02-02-2025,C0922,P209,Office Chair,Fashon,2,abc,0.1,,Cash,Chennai,completed
O00105,2025/01/18,C0362,P210,Air Conditioner,Electronic,3,25338,,,Debit Card,Kolkata,Completed
O00106,2025/03/29,C0349,P207,Microwave Oven,Home & Living,2,35174,,,Cash,Bangalore,Cancelled
O00107,30-03-2025,C0399,P203,Sony Headphones,Home & Living,2,53907,ten,,UPI,Mumbai,completed
O00108,2025-02-16,C0882,P209,Office Chair,electronics,1,abc,0.1,,Cash,Kolkata,Cancelled
O00109,03-02-2025,,P210,Air Conditioner,Fashon,3,abc,ten,,Credit Card,Kolkata,Completed
O00110,07-01-2025,C0949,P202,Samsung TV,Fashon,-1,abc,0.05,,Debit Card,Hyderabad,Completed
O00111,2025/02/11,C0089,P206,HP Laptop,electronics,2,abc,0,,Debit Card,Mumbai,completed
O00112,2025-03-09,C0747,P203,Sony Headphones,Home and Living,3,abc,5%,,UPI,Delhi,Completed
O00113,2025-01-12,C0983,P210,Air Conditioner,Fashion,3,20619,0.1,,,Kolkata,Completed
O00114,17/01/2025,,P210,Air Conditioner,Electronic,-1,74595,10%,,,Kolkata,Cancelled
O00115,2025/01/08,C0412,P203,Sony Headphones,Fashion,2,abc,5%,,Cash,Kolkata,Returned
O00116,2025/02/13,C0287,P205,Levi Jeans,electronics,2,abc,,,,Pune,Returned
O00117,2025/01/17,C0988,P206,HP Laptop,Electronics,3,38753,10%,,Cash,Pune,Completed
O00118,2025/02/09,C0140,P201,iPhone 15,Electronic,1,6619,ten,,Credit Card,Chennai,completed
O00119,2025/01/01,C0659,P202,Samsung TV,Electronic,3,42599,0.05,,Cash,Kolkata,completed
O00120,08/03/2025,C0699,P202,Samsung TV,Home & Living,3,abc,ten,,Cash,Bangalore,Returned
O00121,07/02/2025,C0987,,Nike Shoes,electronics,-1,abc,,,,Bangalore,Cancelled
O00122,2025-01-23,C0295,P204,Nike Shoes,Electronics,1,69921,ten,,Debit Card,Chennai,completed
O00123,2025-01-02,C0900,P201,iPhone 15,Fashion,3,13137,5%,,Debit Card,Chennai,Returned
O00124,12/01/2025,C0354,P201,iPhone 15,electronics,2,abc,10%,,Cash,Lucknow,Cancelled
O00125,2025-01-20,C0267,P206,HP Laptop,Fashon,3,64417,5%,,Cash,Jaipur,completed
O00126,2025-02-26,C0748,P202,Samsung TV,Fashion,-1,7959,,,Debit Card,Chennai,Returned
O00127,23-01-2025,C0807,P204,Nike Shoes,Fashon,2,abc,0.05,,Debit Card,Jaipur,completed
O00128,08-02-2025,C0979,P202,Samsung TV,Electronic,-1,43854,,,UPI,Pune,completed
O00129,2025-02-23,C0809,P210,Air Conditioner,Home & Living,2,abc,0.1,,Cash,Chennai,completed
O00130,2025/02/12,C0828,P207,Microwave Oven,Home and Living,3,33392,10%,,Cash, ,Completed
O00131,23/01/2025,C0185,P208,Refrigerator,Electronic,-1,1352,10%,,,Lucknow,Returned
O00132,16-03-2025,C0737,P202,Samsung TV,Home & Living,2,abc,0.05,,Credit Card,Bangalore,Cancelled
O00133,03/02/2025,C0407,P201,iPhone 15,Fashion,2,23710,0,,,Kolkata,Returned
O00134,31/01/2025,C0358,P204,Nike Shoes,Home and Living,3,abc,0.05,,Credit Card,Chennai,Completed
O00135,2025/03/15,C0285,P205,Levi Jeans,Home and Living,2,51836,ten,,Debit Card,Chennai,Completed
O00136,2025-01-04,C0024,P203,Sony Headphones,Home & Living,2,abc,,,,Chennai,Completed
O00137,11-01-2025,C0627,P204,Nike Shoes,Fashon,1,abc,5%,,Credit Card,Bangalore,Returned
O00138,16/01/2025,C0050,P203,Sony Headphones,Electronic,2,16146,0.05,,Credit Card,Mumbai,Completed
O00139,2025-01-24,C0119,P202,Samsung TV,Fashion,-1,53782,0.05,,Debit Card,Pune,Returned
O00140,15-03-2025,C0955,P204,Nike Shoes,Fashon,2,29061,0.1,,Credit Card,Bangalore,Returned
O00141,2025-01-13,C0667,P205,Levi Jeans,Home & Living,1,abc,0.05,,Cash,Kolkata,completed
O00142,2025/01/20,C0945,,HP Laptop,Home and Living,1,abc,0.05,,,Chennai,Cancelled
O00143,2025/01/28,C0991,P206,HP Laptop,Fashion,-1,9653,ten,,Credit Card,Mumbai,completed
O00144,2025/02/24,C0993,P208,Refrigerator,Fashion,1,abc,0.05,,UPI,Bangalore,completed
O00145,19/01/2025,C0867,P201,iPhone 15,electronics,3,10823,0,,,Bangalore,Returned
O00146,2025-03-18,C0237,P209,Office Chair,Electronics,-1,37428,0.05,,Cash,Jaipur,Completed
O00147,2025-03-25,C0423,P204,Nike Shoes,Home and Living,2,abc,10%,,Debit Card,Delhi,completed
O00148,2025/01/03,C0719,P205,Levi Jeans,Fashion,1,33728,0,,,Lucknow,Cancelled
O00149,2025/03/28,C0434,P205,Levi Jeans,Electronic,1,abc,10%,,Debit Card,Hyderabad,Returned
O00150,2025-01-01,C0862,P202,Samsung TV,Electronics,2,abc,5%,,,Mumbai,Completed
O00151,27/02/2025,C0213,P201,iPhone 15,Fashion,-1,73593,0,,Debit Card,Jaipur,Completed
O00152,2025-01-19,C0558,P201,iPhone 15,electronics,1,abc,0,,Credit Card,Lucknow,Completed
O00153,2025-02-01,C0201,P209,Office Chair,Electronics,1,abc,0,,Credit Card,Hyderabad,Cancelled
O00154,21-02-2025,C0994,P209,Office Chair,Electronics,3,abc,0.05,,,Jaipur,completed
O00155,2025/02/24,C0358,P209,Office Chair,Fashon,3,abc,,,Credit Card,Pune,completed
O00156,25/02/2025,C0688,P204,Nike Shoes,electronics,-1,abc,0.1,,,Mumbai,completed
O00157,04/02/2025,C0851,P203,Sony Headphones,electronics,-1,3487,0,,,Delhi,Completed
O00158,2025-03-01,C0815,P202,Samsung TV,Home & Living,1,abc,,,UPI, ,completed
O00159,2025/01/01,C0557,P209,Office Chair,Electronics,1,abc,10%,,UPI,Bangalore,Completed
O00160,18/03/2025,C0262,P210,Air Conditioner,Fashon,1,abc,,,,Lucknow,completed
O00161,16/01/2025,C0664,P202,Samsung TV,electronics,2,abc,,,Credit Card,Jaipur,Returned
O00162,07/01/2025,C0979,P202,Samsung TV,Electronic,2,abc,0.1,,Debit Card,Pune,Returned
O00163,2025-02-27,C0188,P204,Nike Shoes,electronics,3,77397,10%,,Debit Card,Jaipur,completed
O00164,11-03-2025,C0027,P204,Nike Shoes,Home and Living,-1,abc,ten,,Debit Card,Delhi,Cancelled
O00165,31/03/2025,C0098,P209,Office Chair,Electronics,1,abc,,,Cash,Delhi,Cancelled
O00166,08-02-2025,C0951,P209,Office Chair,electronics,1,abc,0.1,,,Kolkata,completed
O00167,2025-01-23,C0585,P208,Refrigerator,Electronics,3,58365,10%,,Cash,Lucknow,Cancelled
O00168,2025/01/11,C0485,P202,Samsung TV,Home & Living,2,abc,10%,,Credit Card,Bangalore,Returned
O00169,06-03-2025,C0691,P210,Air Conditioner,Fashon,3,abc,10%,,Cash,Delhi,Cancelled
O00170,12/01/2025,C0045,P210,Air Conditioner,Fashion,3,31059,0.1,,,Chennai,completed
O00171,14/01/2025,C0500,P205,Levi Jeans,Home & Living,2,abc,0.1,,Cash,Bangalore,Cancelled
O00172,11-03-2025,C0656,P201,iPhone 15,Fashion,-1,abc,5%,,Credit Card,Hyderabad,Returned
O00173,2025/01/20,C0524,P205,Levi Jeans,electronics,2,abc,0,,,Chennai,Returned
O00174,10/03/2025,C0282,P209,Office Chair,Fashon,2,1044,0.1,,Credit Card,Jaipur,completed
O00175,2025-03-15,C0265,P207,Microwave Oven,Electronics,-1,abc,10%,,Credit Card,Hyderabad,Completed
O00176,27/01/2025,C0220,P202,Samsung TV,Home & Living,2,47890,ten,,Cash,Delhi,Cancelled
O00177,2025-03-07,C0192,P204,Nike Shoes,Home & Living,1,abc,10%,,Credit Card,Bangalore,Cancelled
O00178,2025-01-16,C0929,P205,Levi Jeans,Home and Living,3,65958,0.1,,Debit Card,Hyderabad,Cancelled
O00179,2025-03-03,C0029,P210,Air Conditioner,electronics,-1,53699,5%,,,Kolkata,Completed
O00180,12-03-2025,C0560,P209,Office Chair,electronics,1,abc,ten,,Cash,Kolkata,Completed
O00181,2025/02/18,C0807,P204,Nike Shoes,Fashon,3,abc,,,,Chennai,Returned
O00182,2025-02-09,C0714,P210,Air Conditioner,electronics,-1,abc,10%,,Credit Card,Mumbai,Completed
O00183,01/02/2025,C0629,P203,Sony Headphones,Electronics,2,abc,0.1,,Credit Card,Lucknow,Completed
O00184,2025/02/23,C0433,P201,iPhone 15,Home & Living,2,abc,0.05,,Debit Card,Mumbai,Cancelled
O00185,2025-01-07,C0336,P206,HP Laptop,electronics,1,abc,0,,Debit Card,Hyderabad,Cancelled
O00186,05/02/2025,C0184,P201,iPhone 15,electronics,3,abc,,,Cash,Hyderabad,completed
O00187,2025/02/26,C0015,P205,Levi Jeans,Fashion,3,abc,5%,,UPI,Pune,completed
O00188,2025/02/17,C0197,P209,Office Chair,Home and Living,1,56725,0.05,,Debit Card,Bangalore,Returned
O00189,2025/02/12,C0345,P205,Levi Jeans,Home & Living,1,abc,,,Cash,Bangalore,completed
O00190,27/02/2025,C0122,P203,Sony Headphones,Home & Living,2,39549,ten,,Cash,Hyderabad,Returned
O00191,11-01-2025,C0138,P206,HP Laptop,Electronics,1,52136,0,,UPI,Kolkata,Cancelled
O00192,2025-03-10,C0547,P209,Office Chair,Fashion,-1,8860,ten,,Cash,Lucknow,completed
O00193,2025/01/02,C0201,P202,Samsung TV,Fashion,2,abc,5%,,UPI,Bangalore,Returned
O00194,2025/03/09,C0078,P203,Sony Headphones,Fashion,1,22577,0.05,,UPI,Chennai,Returned
O00195,2025/03/12,C0355,P210,Air Conditioner,electronics,-1,70768,5%,,UPI,Kolkata,completed
O00196,2025/02/11,C0318,P203,Sony Headphones,electronics,1,74071,10%,,Credit Card,Delhi,Returned
O00197,19-01-2025,C0261,P205,Levi Jeans,Electronic,3,abc,0.1,,Debit Card,Bangalore,Returned
O00198,20-02-2025,C0293,P209,Office Chair,Home & Living,-1,abc,5%,,Debit Card,Lucknow,completed
O00199,2025-02-15,C0032,P204,Nike Shoes,Home and Living,-1,23245,5%,,Credit Card, ,Returned
O00200,23-03-2025,C0986,P204,Nike Shoes,Home and Living,1,abc,,,Debit Card,Pune,completed
O00201,2025-01-02,C0274,P210,Air Conditioner,Home and Living,2,44387,0.1,,Credit Card,Kolkata,Completed
O00202,09/01/2025,C0733,P207,Microwave Oven,electronics,-1,abc,10%,,UPI,Pune,Cancelled
O00203,2025/03/10,C0269,P207,Microwave Oven,Fashon,1,70695,ten,,Debit Card,Lucknow,Completed
O00204,10/03/2025,C0016,P206,HP Laptop,electronics,2,79086,0.05,,,Jaipur,Returned
O00205,10/02/2025,C0601,P209,Office Chair,Fashion,2,79492,0.1,,Credit Card,Hyderabad,Returned
O00206,12/01/2025,C0698,P203,Sony Headphones,Electronic,3,50393,0,,Debit Card,Kolkata,completed
O00207,2025-03-14,C0607,P208,Refrigerator,Home & Living,2,69349,0.05,,,Lucknow,Completed
O00208,15-03-2025,C0402,P203,Sony Headphones,Home and Living,2,23597,,,Credit Card,Delhi,completed
O00209,08/03/2025,C0236,P203,Sony Headphones,Electronics,1,3133,,,Credit Card,Kolkata,Returned
O00210,07-02-2025,C0733,P207,Microwave Oven,electronics,1,2468,ten,,Credit Card,Chennai,Cancelled
O00211,2025/03/03,C0951,P206,HP Laptop,Home and Living,2,12147,ten,,,Bangalore,completed
O00212,2025-03-28,C0323,P205,Levi Jeans,Home and Living,-1,abc,ten,,Credit Card,Lucknow,Returned
O00213,17/03/2025,C0938,P203,Sony Headphones,Electronics,1,abc,0.1,,Credit Card,Jaipur,Returned
O00214,02/01/2025,C0996,P207,Microwave Oven,Electronics,-1,36215,0,,Credit Card,Chennai,Cancelled
O00215,2025/03/17,C0002,P208,Refrigerator,Fashon,3,abc,10%,,,Delhi,Cancelled
O00216,2025/01/26,C0792,P209,Office Chair,Home & Living,2,abc,10%,,, ,Returned
O00217,2025-02-25,C0164,P207,Microwave Oven,Home & Living,-1,3021,10%,,Cash, ,Completed
O00218,16/02/2025,C0373,P201,iPhone 15,Fashion,3,abc,0.05,,Credit Card, ,completed
O00219,15/02/2025,C0130,P201,iPhone 15,Fashon,1,abc,,,,Bangalore,Returned
O00220,2025/03/15,C0016,P205,Levi Jeans,Home and Living,1,73521,ten,,Cash,Pune,Cancelled
O00221,2025-02-07,C0523,P206,HP Laptop,electronics,1,abc,5%,,Cash, ,completed
O00222,12/01/2025,C0803,P202,Samsung TV,Electronic,1,72016,0.1,,Debit Card,Bangalore,Returned
O00223,2025/02/03,C0343,P209,Office Chair,Home and Living,1,59887,ten,,,Pune,Cancelled
O00224,06-03-2025,,P208,Refrigerator,Electronic,1,abc,ten,,UPI,Lucknow,Completed
O00225,21-02-2025,C0728,P210,Air Conditioner,Fashion,1,7524,,,UPI,Delhi,Returned
O00226,06-03-2025,C0176,P204,Nike Shoes,Home & Living,2,abc,0.05,,UPI,Delhi,Completed
O00227,27-02-2025,C0092,P208,Refrigerator,Electronics,2,abc,,,Cash,Kolkata,Cancelled
O00228,2025-03-24,C0007,P208,Refrigerator,Electronics,1,abc,10%,,,Bangalore,Returned
O00229,2025-01-11,C0908,P202,Samsung TV,Home and Living,1,42285,5%,,Cash,Delhi,completed
O00230,2025/02/25,C0205,,iPhone 15,Fashion,1,61604,ten,,UPI,Mumbai,Cancelled
O00231,14/03/2025,C0576,P206,HP Laptop,Electronic,3,30753,ten,,Cash,Pune,completed
O00232,12-01-2025,C0610,P205,Levi Jeans,electronics,3,62894,5%,,,Mumbai,completed
O00233,2025/01/20,C0924,P202,Samsung TV,Fashion,1,abc,0,,Debit Card,Bangalore,Completed
O00234,09-03-2025,C0480,P205,Levi Jeans,Fashion,2,abc,0.1,,,Delhi,Returned
O00235,25-01-2025,C0883,P205,Levi Jeans,electronics,-1,abc,5%,,,Kolkata,completed
O00236,2025/03/22,C0561,P205,Levi Jeans,Electronics,2,42670,5%,,UPI,Pune,Completed
O00237,2025/02/27,C0457,P208,Refrigerator,Fashion,3,abc,0.1,,Debit Card,Chennai,completed
O00238,2025-02-11,C0747,P201,iPhone 15,electronics,1,abc,ten,,Credit Card, ,Completed
O00239,06/03/2025,C0911,P204,Nike Shoes,Electronics,1,11922,5%,,Debit Card,Pune,Cancelled
O00240,2025-03-23,C0722,P208,Refrigerator,Electronic,-1,8075,0.05,,UPI,Hyderabad,Completed
O00241,2025/02/26,C0699,P203,Sony Headphones,electronics,1,11838,0.05,,Credit Card,Delhi,completed
O00242,13-02-2025,C0881,P207,Microwave Oven,electronics,1,abc,0,,,Hyderabad,Returned
O00243,06/01/2025,C0649,P210,Air Conditioner,Electronic,3,abc,0.1,,Debit Card,Lucknow,Completed
O00244,2025-01-09,,P206,HP Laptop,Home & Living,3,4676,,,,Chennai,Cancelled
O00245,2025/02/05,C0792,P201,iPhone 15,Electronic,2,76887,0,,Cash,Delhi,Cancelled
O00246,13-02-2025,C0066,P202,Samsung TV,Home and Living,3,13293,,,Debit Card,Pune,Cancelled
O00247,08/01/2025,C0151,P201,iPhone 15,Fashon,3,51845,0,,Credit Card,Delhi,Returned
O00248,26/02/2025,C0585,P207,Microwave Oven,Electronic,1,abc,,,Cash,Kolkata,Cancelled
O00249,2025/03/16,C0712,P203,Sony Headphones,Fashion,2,abc,0.1,,Cash,Lucknow,Returned
O00250,2025/01/21,C0777,P203,Sony Headphones,Electronic,3,44003,0.05,,Cash,Pune,Cancelled
O00251,2025/03/10,C0134,P207,Microwave Oven,Electronic,2,38469,5%,,,Bangalore,completed
O00252,2025-01-02,C0809,P204,Nike Shoes,Fashion,3,44388,0,,Credit Card,Pune,completed
O00253,02-01-2025,C0006,P209,Office Chair,Fashion,-1,abc,0.05,,Cash,Lucknow,completed
O00254,12/02/2025,C0814,P203,Sony Headphones,Electronic,1,abc,5%,,Credit Card,Bangalore,Returned
O00255,31/01/2025,C0320,P203,Sony Headphones,Home and Living,-1,7085,ten,,Credit Card,Bangalore,Returned
O00256,2025-03-01,C0379,P206,HP Laptop,Fashion,2,abc,5%,,Credit Card,Mumbai,Cancelled
O00257,25/01/2025,C0863,P203,Sony Headphones,Home & Living,2,73185,0.05,,,Bangalore,Completed
O00258,2025/01/01,C0362,P209,Office Chair,Home and Living,1,abc,,,Credit Card,Kolkata,Returned
O00259,2025/03/17,C0217,P209,Office Chair,Fashion,3,44557,,,Debit Card,Mumbai,Returned
O00260,03-03-2025,C0570,P209,Office Chair,Fashon,1,abc,0.05,,Debit Card,Kolkata,Returned
